batch_index,pump_rpm,gun_1,gun_2,gun_3,gun_4,gun_5,gun_6,mean_shown,m_shown,c_shown,source,entered_by,confirmed_against_excel
1,5,23.464,23.962,25.284,24.593,23.726,24.563,24.2653333,4.22703333,3.13016667,screenshot_98A64565,claude_transcription,FALSE
1,10,45.275,44.376,46.278,44.937,45.364,46.173,45.4005000,4.22703333,3.13016667,screenshot_98A64565,claude_transcription,FALSE
2,5,24.347,25.024,23.433,23.664,24.126,24.337,24.1551667,4.26453333,2.83250000,screenshot_98A64565,claude_transcription,FALSE
2,10,44.553,46.239,46.105,45.776,44.331,45.863,45.4778333,4.26453333,2.83250000,screenshot_98A64565,claude_transcription,FALSE
3,5,24.793,24.172,23.947,25.138,23.937,24.692,24.4465000,4.15263333,3.68333333,screenshot_98A64565,claude_transcription,FALSE
3,10,44.274,45.395,44.684,46.274,44.956,45.675,45.2096667,4.15263333,3.68333333,screenshot_98A64565,claude_transcription,FALSE
4,5,24.674,23.464,23.956,25.853,24.296,23.572,24.3025000,4.14336667,3.58566667,screenshot_98A64565,claude_transcription,FALSE
4,10,44.936,44.478,45.174,44.374,46.275,44.879,45.0193333,4.14336667,3.58566667,screenshot_98A64565,claude_transcription,FALSE
